pm,stator_yoke,stator_tooth,stator_winding,ambient,coolant,u_d,u_q,torque,i_d,i_q,,motor_speed
0.2644652,1.5727644,1.0937625,0.718714,-0.41703987,1.9455177,-1.5053318,-0.16658328,1.8035713,-1.0736994,1.7196451,,-0.04440782
-0.729979,-0.39753547,-0.5314773,-0.60307634,-0.9747484,0.090237215,-0.9315054,1.043806,0.3614113,-0.6306577,0.3307597,,1.0352039
-1.2764896,-1.5746365,-1.7312883,-1.743679,-1.006804,-1.0913103,0.5163704,-0.1540584,-0.57405525,0.99428177,-0.6174071,,-0.64615965
-1.8098016,-0.73472506,-0.8919251,-0.9156372,-0.09149042,-0.17092249,0.72568905,-0.7427696,-1.545181,0.42271328,-1.6684697,,-0.85306334
0.6646708,1.1714823,1.4543841,1.5806936,-0.004697639,0.33244142,-1.3314178,0.25005147,1.6208324,-0.16841741,1.7166469,,-0.1765795
-0.7648461,-0.057886653,0.022858335,0.26436746,0.264074,-0.13128152,-1.2977103,0.36335403,0.8530589,-0.89687765,0.7872518,,0.53800887
0.051876757,-0.15613568,-0.22745828,-0.36885843,0.72275305,-0.13815245,-0.5555665,1.0089934,0.4207437,0.7905958,0.54043597,,-0.034472153
0.3888074,0.1164709,-0.19064672,-0.38822663,0.6886087,0.39448053,0.34087768,-1.3149108,-0.25563973,1.0291345,-0.24572106,,-1.2224268
-0.17909513,-0.25798985,-0.040695533,0.017978428,0.6816076,-0.5283787,0.82401145,1.6131557,-0.520292,-0.62624204,-0.49757895,,1.7255448
0.21051303,0.70273674,0.46123898,0.33346263,-0.5082421,0.9753174,-1.5381657,-0.3644495,0.70567775,-1.8024962,0.53593075,,1.394071
-0.419821,-0.046816103,-0.29383245,-0.5031175,-0.23457117,0.3256637,-0.62539625,0.7158987,0.60425746,0.6657779,0.73548156,,-0.15802874
1.3463522,0.91252774,1.0065752,0.9413437,1.5385333,0.52060115,2.1810758,-0.35008615,-2.0900104,-1.1804942,-1.9724045,,0.22440423
0.62260395,-0.42960945,0.15493041,0.51213163,-0.15894806,-1.0722772,-1.2292731,0.51204884,0.28606457,-1.369184,0.23412962,,2.024121
0.6517477,-0.057750423,0.027276801,-0.022845596,0.6872968,-0.52830887,-0.5901851,1.2887158,0.35708636,0.7765293,0.46254057,,0.13238183
0.8162987,-1.0268155,-0.97466916,-1.0488167,-0.21263835,-1.0790131,0.29004553,0.8956522,-0.26110467,1.0291772,-0.245707,,-0.14024802
-2.095237,-1.7447779,-1.8690261,-1.783072,-1.9049203,-1.070372,0.28324026,-1.1692077,0.40288135,0.8201236,0.4869198,,-1.1953619
-0.47349787,-0.26272202,-0.34073776,-0.43029252,0.24277052,0.09640238,0.81331533,0.12778981,-0.8795829,0.84433043,-0.9696177,,-0.44905367
-1.1226348,-1.2959561,-1.5509492,-1.5721393,-0.59653246,-0.64072955,0.31503367,-1.2505407,-0.25563973,1.0291487,-0.24571614,,-1.2224307
0.27099094,0.25598225,0.12647295,-0.09561874,-0.13442056,0.32702154,-0.46184468,1.5133644,0.15252443,0.28421465,0.1868977,,0.5719909
0.06160719,-0.4061476,-0.13439825,-0.003675309,0.68861675,-0.606361,1.7205474,0.724602,-0.96727514,-1.1041307,-0.8927988,,1.6434501
0.25348654,-0.6052484,-0.20327103,0.017978428,-0.82543534,-1.0608271,-1.1267083,0.7450801,0.3499834,-1.0799043,0.30455378,,1.4830301
0.5532566,0.55035746,0.32317474,0.17108805,-0.3498984,0.76377654,-1.3882554,0.121442884,1.0477319,-0.9603878,0.9726926,,0.3940267
-0.30816126,-0.5245882,-0.4330642,-0.4163732,0.68862474,-0.6078351,1.8235776,0.63692087,-1.2796249,-0.5899001,-1.2359453,,0.66917855
1.1323154,1.2877377,1.2261782,1.0964866,-0.25308323,0.98740387,2.077506,0.016510993,-1.7675643,-0.8411437,-1.6983513,,0.35829946
1.2015032,2.1477609,1.8839396,1.5162321,1.1069342,2.1889248,0.32190418,-1.3277125,-0.255584,1.0291163,-0.24565864,,-1.2224245
-1.4981871,-0.73472506,-0.5835818,-0.37904912,-0.09477466,-0.5829282,0.31774205,1.6174637,-0.30031872,-0.50497806,-0.28796223,,1.4314723
0.11936734,1.2910073,1.0366365,0.9278725,-0.53933406,1.4655864,2.0182977,0.18134962,-2.1394541,-0.10749623,-2.2241645,,-0.052713457
-1.8831811,-1.3681759,-1.6380159,-1.6597942,-0.5370084,-0.6412194,0.31443152,-1.2494832,-0.25563973,1.0291301,-0.24571879,,-1.2224361
-0.1731109,1.6256125,1.0414432,0.5170762,-0.15406083,2.172637,0.31111237,-0.7326132,-0.25563973,1.029138,-0.24571222,,-0.9518886
-0.66030663,-0.39804828,-0.30060056,-0.2783323,-0.038589068,-0.54869753,-0.7153817,0.7406973,0.68474495,0.6154699,0.8209655,,-0.14024445
0.9674933,0.9512226,1.3439274,1.5097048,0.61825424,0.33256507,2.1311345,-0.11914612,-2.3309186,-0.54209596,-2.3366091,,-0.051089104
0.015276888,-0.15526496,-0.43785724,-0.60133594,0.63670003,0.17474493,0.31356397,-1.3270911,-0.25554267,1.02911,-0.24560396,,-1.2223316
0.34340176,-0.608546,-0.18483461,0.017970007,-0.6314738,-1.046919,-1.1285782,0.73878586,0.35378334,-1.080788,0.304538,,1.4830325
1.1197674,1.8284644,1.6995169,1.7764833,1.3831807,1.7475554,-1.603222,-0.74069315,1.5462998,-1.9399202,1.3478204,,0.2459941
-0.30888245,-0.77792436,-0.76913756,-0.84327227,0.6930673,-0.736962,1.7500099,0.78922385,-1.0744646,-0.85127366,-1.010766,,1.1502521
2.740646,0.27697724,1.2631254,1.732807,0.32481357,-1.0578512,-1.6031321,-0.7127972,0.46915916,-1.8963984,0.3685979,,1.9429532
-2.2542539,-1.7462937,-1.9857602,-1.8859512,-2.8627725,-1.0385066,0.3021003,-1.1848449,-0.11817244,1.0139837,-0.09144154,,-1.189964
-1.7241789,-0.5640248,-0.7619508,-0.5689628,-0.09999012,-0.16555664,1.1736785,-0.55568945,-2.1476028,-0.03578513,-2.2489114,,-0.64260453
-0.5985675,-0.78508794,-0.7619508,-0.73020774,0.6886087,-0.7272628,-0.47077727,1.5034838,0.086524785,-0.24197105,0.094579235,,1.0073352
-0.6048525,1.3341264,0.770885,0.32635787,-0.12759008,1.9398507,0.29894885,-1.2927213,-0.25563973,1.0291357,-0.24569902,,-1.2224284
-0.9405046,0.2656923,-0.09429606,-0.33383745,0.2835336,0.7206575,-0.31251943,1.1659238,0.18698813,0.9110187,0.27958602,,0.008785407
0.5009567,-0.23739372,-0.001569343,0.17164683,0.6886147,-0.58259785,1.8917813,-0.4118878,-2.679315,-0.5688631,-2.7265184,,-0.3262157
0.39429098,0.5217276,0.461578,0.63130414,1.4900203,0.55451286,-1.1307955,0.5982105,0.6089589,-0.7779567,0.5549157,,0.7495535
0.027833913,0.27293387,1.1226001,1.9817852,-2.218979,-1.0463912,-1.6456171,-1.0622907,1.8936982,-2.5046256,1.600986,,0.10866099
-1.7712511,-1.6633223,-1.8276078,-1.8292718,-2.7498572,-1.0688865,0.22485176,-0.2513316,-0.12030715,1.0139836,-0.09143945,,-0.73544633
0.3333422,-0.552896,-0.83605266,-1.004487,0.30239797,-0.001730396,0.33743817,-1.2514154,-0.25563973,1.0291476,-0.24572416,,-1.2224283
0.25166988,-0.6053704,-0.9972847,-1.2256489,0.37238103,0.13373417,0.3020543,-1.2963495,-0.25563973,1.0291541,-0.2457374,,-1.2224307
0.33095235,0.10545371,0.7910582,1.2616092,-2.7498572,-1.0218029,-1.6049559,-0.63975376,0.983904,-1.9530226,0.82559586,,0.8229046
1.1124394,0.61345774,0.8072069,0.88316923,0.27569938,0.32767957,-1.1404432,0.73639166,0.34309784,-1.024896,0.3091197,,1.4830292
1.3714821,-0.22432522,0.3112762,0.5896109,1.3227413,-1.1389881,-1.4975256,-0.093730554,1.0013586,-1.3186734,0.88900375,,0.56316835
-1.5726362,-1.4399513,-1.5342582,-1.5427145,-1.8565478,-1.0698603,-0.345832,0.83793306,0.32644403,0.8501571,0.41710395,,-0.16188869
0.8598637,1.7954534,1.3079549,0.81008476,0.46116924,2.1686,-0.20957978,1.6399752,-0.06452077,-0.19437718,-0.05537562,,1.2094711
1.042945,-0.634208,-0.45331955,-0.40078488,-0.9438561,-1.0691476,0.33988655,-1.2601042,-0.2205472,1.0291501,-0.24570398,,-1.2224276
1.7428966,1.5434272,1.5652134,1.2637337,0.6886318,1.2224717,-0.86681527,1.1219126,0.2089332,-0.7138351,0.17896251,,1.4887414
0.022260247,-1.292387,-1.3375858,-1.4431683,-0.63251066,-1.0742748,0.29174784,0.9170553,-0.26048765,1.0291846,-0.24572772,,-0.14024848
0.25919545,0.3777959,0.42530572,0.47836998,-0.13575153,0.3301182,2.0410671,0.15871547,-1.7151873,-0.733561,-1.6587161,,0.34859788
-1.7360383,-0.5706136,-0.7619526,-0.6029074,-0.097020045,-0.1659893,1.1970171,-0.50108504,-2.0923638,0.008493064,-2.1969113,,-0.61609286
-0.49270722,-0.8710616,-0.5718579,-0.38487917,-0.6919062,-1.0798792,0.1799107,1.682907,-0.26427892,-0.7691308,-0.2550195,,2.0241165
0.4988004,2.0498352,1.8227763,1.6423906,0.6886087,2.1905377,1.6154964,0.87346727,-1.037279,-0.6546936,-0.98723185,,1.0647758
1.7251121,0.079370245,0.8840425,1.261606,0.20060724,-1.0492202,-1.6087391,-0.6741555,0.6866539,-1.927734,0.5601022,,1.3477559
1.2455808,1.5924633,1.1085544,0.608584,0.10018462,1.9480299,0.29678062,-0.19712384,-0.25563973,1.0291029,-0.2457093,,-0.6813282
-1.9456769,-1.2783307,-1.2727501,-1.2243869,0.046093836,-0.8059444,0.6712835,1.6933627,-0.48477796,0.43457708,-0.49381974,,0.55927336
-0.8076231,-0.89574444,-0.9672698,-0.97692376,0.44186422,-0.60253507,1.3748845,1.2617041,-0.90465593,-0.13971734,-0.8973943,,0.73696965
1.5799282,2.2194297,1.9916233,1.8765532,0.67772007,1.7475554,-0.8159198,1.206074,0.42980418,0.20707013,0.4755119,,0.44305733
0.16861096,-0.73846626,-0.29715684,0.018556671,-1.3257879,-1.0445089,-1.4909561,-0.14403288,0.5541698,-1.6932592,0.4529598,,1.5479634
-1.4111534,-1.0200243,-0.8083357,-0.56761146,-1.0025411,-1.065041,-1.5182817,-0.25885478,1.3711703,-1.5025687,1.2525209,,0.2748934
-1.8855283,-1.6619363,-1.8250198,-1.8178036,-1.1537391,-1.0670562,0.5144169,-0.14804302,-0.5741372,0.99427813,-0.61741537,,-0.64616275
-0.02098329,0.94898546,0.6431839,0.3268827,-0.073921874,1.255958,-0.3984287,1.5522063,0.057821833,-0.0814613,0.07125172,,0.94193506
-0.75999695,-0.44591692,-0.79967815,-0.977352,0.68854445,0.17534006,0.35017893,-1.2668742,-0.25563973,1.0291556,-0.24571207,,-1.222428
-2.0594492,-1.5726331,-1.5042924,-1.3543057,-0.7905131,-1.0723919,0.18626781,1.6729167,-0.26676425,-0.8463008,-0.2565096,,2.0241177
-2.1654406,-1.7462937,-1.875403,-1.7828764,-1.9065875,-1.0735073,0.2830704,-1.1692101,0.40295714,0.82012,0.48692045,,-1.195382
1.1350847,-1.2986699,-1.3697382,-1.3298639,0.6328547,-1.211159,0.35310856,-1.3004179,-0.25563973,1.0291332,-0.24572597,,-1.2224295
0.8232559,1.1687727,0.97422093,0.652763,0.4583126,1.1801866,0.6927386,-0.6959729,-1.3360615,0.5512658,-1.4528649,,-0.82865816
-1.6296315,-0.73472506,-0.83604765,-0.97686195,0.6332813,-0.363854,0.8092384,1.3613968,-0.5934167,0.9769173,-0.64470345,,0.12231498
-0.2225407,1.6212012,1.031979,0.5148033,-0.15325081,2.176567,0.3108698,-0.73256683,-0.25563973,1.0291584,-0.2457248,,-0.95190185
-1.5085921,0.12381741,0.39028773,0.97265244,-0.089254074,-0.16307628,0.5887249,-1.2890316,-3.1337368,-1.0794548,-3.1392941,,-1.0554135
0.2658557,-0.39753547,-0.2957332,-0.3179426,0.6886087,-0.5495097,2.1493654,-0.22916171,-2.022178,-1.0966467,-1.9181542,,0.22861028
-1.895591,-1.3769901,-1.6387173,-1.6598344,-0.5532821,-0.638004,0.315625,-1.2498639,-0.25563973,1.0291394,-0.2457177,,-1.2224271
-0.009123185,0.23662381,0.34339082,0.4344947,0.008539742,0.070098996,-1.3449842,0.23874123,1.2073544,-0.65989894,1.1766071,,0.16404119
-1.3941361,-0.7652155,-0.38351595,0.33231804,-1.4433604,-1.0691167,-0.75237906,-0.59751,2.4605293,-0.98101074,2.4084983,,-0.68404794
-1.5863669,-1.4428248,-1.5348307,-1.5497537,-2.4701078,-1.0672102,-0.34582812,0.8378227,0.32643902,0.85013866,0.41710836,,-0.16189225
-0.14570935,0.25708863,0.15578638,0.14355867,0.46712247,0.31674403,-0.7266517,-0.17127836,1.481841,0.005628931,1.604845,,-0.5343742
0.7321722,1.4194555,0.99810237,0.5156368,0.6886087,1.7475164,0.9473375,0.6575491,-0.8230261,0.8738034,-0.90774465,,-0.15149528
0.4037216,0.20466775,0.15590607,0.22687638,-0.09232553,0.27889323,-0.3386697,1.5543658,0.14681563,0.7662369,0.21201788,,0.29985473
-0.010478104,0.53258634,0.46185774,0.50198877,0.688419,0.5225791,0.065121084,1.6920428,-0.16817802,0.20495401,-0.15949035,,0.8251411
-1.3592255,-1.409146,-1.6798079,-1.668671,0.5599467,-0.6960501,0.34703222,-1.2994065,-0.25563973,1.0291479,-0.24572869,,-1.2224324
-0.008499297,0.13545138,0.010570902,-0.21580224,0.6886087,0.32803342,-0.3405905,1.5825416,0.004493139,-0.22343944,0.013665888,,1.1094244
-0.25430083,-0.81684875,-0.499931,-0.35137668,-0.5011978,-1.0466014,0.18101175,1.6842782,-0.26438522,-0.7577997,-0.25450838,,2.024118
-0.5758481,-0.73475873,-1.0679032,-1.1347325,-0.76904297,-0.12821408,0.30054387,-1.2657121,-0.25563973,1.0291607,-0.24570873,,-1.2224302
0.13708459,-0.06355648,-0.453608,-0.6941226,0.6883377,0.38532147,0.3386716,-1.318148,-0.25563973,1.0291517,-0.24570905,,-1.2224317
1.1620145,0.9073144,0.8600049,0.80271685,1.4386698,0.8396379,2.0905447,-0.26616764,-2.6149852,-0.5165785,-2.6674833,,-0.19000165
0.7007011,0.7851204,0.96041214,1.2074696,1.2050602,0.6093375,1.6612393,-0.23091738,-2.2130268,-0.11638111,-2.3044705,,-0.34906924
-0.014434755,0.13515668,0.009397694,-0.22214258,0.6886067,0.33069658,-0.4039354,1.5440081,0.039991982,-0.22300492,0.048953347,,1.0731143
-0.0342269,-0.48523918,-0.29578716,-0.23015723,0.831578,-0.6993086,-1.0490437,0.90567744,0.5273623,-0.46903875,0.50868475,,0.6910725
-0.5953003,-0.8918172,-0.592074,-0.4142384,-0.85840034,-1.09344,0.18140404,1.6826781,-0.26476315,-0.7744677,-0.25501934,,2.0241165
0.6590926,1.6678524,1.3030269,0.8908063,-0.54132247,1.9534489,-0.8233851,1.1993371,0.3712834,-0.10346645,0.38568804,,0.6713922
-1.1835617,-1.3232332,-1.5636574,-1.5933026,-0.5979015,-0.6386372,0.3145638,-1.2486562,-0.25563973,1.0291525,-0.24571049,,-1.2224307
0.05164133,-0.5884196,-0.9119695,-1.0549763,0.28012288,-0.010296909,0.33703983,-1.2498821,-0.25563973,1.029142,-0.24572918,,-1.2224295
0.9373915,1.7300907,1.3786796,0.98842007,-0.1403035,1.9540864,-0.9351158,1.058667,0.3712834,-0.45607424,0.3545261,,0.9419408
0.60921717,0.20762147,0.3404396,0.3299336,0.6886087,-0.123566315,1.9823614,0.34789452,-1.8732758,-0.004327409,-1.9497306,,0.01958411
1.166664,1.2048335,0.90968764,0.5475479,0.85513794,1.2520555,0.32079,-1.3293505,-0.25563973,1.0291426,-0.24572106,,-1.2224334
0.4775349,-0.18650976,-0.51861143,-0.72605735,1.1871866,0.31707957,0.3209482,-1.2503766,-0.25563973,1.0291376,-0.24571161,,-1.2224241
1.8463293,1.5460182,1.6856602,1.6933196,0.6886117,1.2301348,-1.503886,-0.21294071,0.5259649,-1.624325,0.42698705,,1.6302023
0.20418431,0.3200615,0.3132382,0.19783619,0.33329824,0.3478168,0.5807288,1.7246755,-0.41765174,-0.30295804,-0.40583208,,1.356818
0.29727206,0.13890946,0.15590607,0.16959612,0.26716855,0.113567896,1.4353126,1.1399325,-0.8528875,-0.63654464,-0.80983734,,1.2962626
0.4174889,0.12418633,0.09349843,0.28266326,-0.09282439,0.2791383,-0.8032865,0.1818114,1.1542895,0.2677712,1.2891504,,-0.36060137
0.004822392,-0.8070595,-0.53007376,-0.4096862,-1.0260679,-1.072782,-1.1127559,0.79547834,0.49039975,-0.7711394,0.4473949,,0.9419393
-0.62007105,-0.25116837,-0.110920146,-0.018606797,0.4275067,-0.66512895,-1.1469618,0.7438367,0.6688228,-0.5675647,0.63978493,,0.58052653
-2.4279442,-1.7490411,-1.83182,-1.7240036,0.12538563,-1.0665628,0.12348457,1.7075183,-0.2266827,-0.57415885,-0.22134994,,1.5371087
0.560392,0.727087,0.6334349,0.5699042,-0.8133071,0.8389598,-0.20166403,-0.42178175,0.8651769,0.47143662,1.0015416,,-0.7588388
0.09765308,1.6518865,1.0516337,0.5483875,0.21983397,2.1751478,0.31372395,-1.3242894,-0.25563973,1.0291414,-0.24571846,,-1.2224284
-0.22274537,-0.40075475,-0.97411346,-1.225649,0.66718274,0.913078,0.3189921,-1.3286655,-0.25563973,1.0291338,-0.24572594,,-1.2224293
0.6226164,0.9324959,0.9950779,0.89710164,1.4616003,0.55722356,0.42446116,-0.5044177,-0.51305366,0.9988231,-0.550594,,-0.8072898
-0.27179128,-0.6255285,-0.5216129,-0.49563855,0.6886087,-0.7828019,-1.1108731,0.49424687,1.2313759,0.21123515,1.3575054,,-0.1626461
0.18624556,0.74120915,0.641418,0.60640925,-0.09487604,0.8389598,2.1961577,-0.5228443,-1.9049305,-1.5822759,-1.7447274,,0.4950541
-0.032256264,-0.61097926,-0.1308061,0.26502758,-0.16357532,-1.059839,-1.1546746,0.653642,0.2875795,-1.2875996,0.2336579,,1.8888464
0.7557588,1.5905312,1.368852,1.2510449,0.3503709,1.6331441,-1.4649973,-0.001593101,1.5676879,-0.871406,1.5083582,,0.03071426
-1.0007843,-0.49195436,-0.24959902,-0.032470383,-0.097557046,-0.63424623,1.6871965,0.73390424,-0.91996765,-1.2425255,-0.8440966,,1.8919868
0.87393755,-0.79914886,-0.60363764,-0.45043358,-0.5633266,-1.073225,-0.6055543,-0.11766114,1.2116961,0.2539953,1.3230643,,-0.54606557
-0.15542608,-0.5132338,-0.11646538,0.14987896,-1.407027,-1.0729896,1.5669291,1.050675,-0.88003826,-0.8367916,-0.8275351,,1.4830327
0.8487971,0.9002479,1.0579175,1.1148611,0.88966775,0.6072014,-1.1951545,0.6693768,0.8440146,-0.29146996,0.8505344,,0.32040083
0.7494191,1.7097151,1.5785131,1.5158427,0.5339227,1.7475554,-0.45972526,1.5007904,0.08883695,-0.06126489,0.102671415,,0.93366
-2.176879,-1.3782237,-1.5753496,-1.4976336,0.6289642,-0.45623818,0.8559338,-0.31323573,-1.2616868,0.58509946,-1.3751693,,-0.64143157
-0.30007017,-0.41711912,-0.18694097,-0.04033198,-0.25941786,-0.720573,0.34453213,-1.3023747,-0.25563973,1.0291197,-0.24573416,,-1.2224315
2.2703815,0.24155305,1.1836748,1.6926951,0.3130467,-1.040264,-1.6002964,-0.6809989,0.4741966,-1.9118056,0.3725147,,1.9429584
-0.8972985,-0.39983365,-0.38307688,-0.23072705,-0.9978696,-0.29940155,2.0067818,0.21695238,-1.3137904,-1.2541041,-1.2108825,,1.0857806
0.47010973,0.027901195,0.30900016,0.48710227,-0.9915641,-0.6401835,-0.14154807,-0.7972395,1.6251297,-0.17799832,1.7232718,,-0.95189106
0.37073317,-0.90202194,-0.7620542,-0.5935705,-0.6240732,-1.0584848,-0.6008269,-0.11026029,1.2170017,0.25402734,1.3230727,,-0.5460651
1.7519664,1.5496835,1.6123285,1.3179,0.6888576,1.2372694,-0.85496485,1.1477562,0.22388549,-0.6149555,0.20020624,,1.3457636
-1.6154649,-0.9847258,-1.0831954,-1.1146554,-0.89209706,-0.57532513,-0.91373616,1.0952028,0.68474495,0.4159026,0.78488535,,0.13030542
0.3786993,1.4111739,0.9233364,0.48468968,0.5122488,1.7475554,0.34146133,-1.3160474,-0.25563973,1.029163,-0.2456999,,-1.2224354
0.056805395,0.35872802,0.45070475,0.51372844,-0.030728746,0.34090087,-0.75375956,1.2334783,0.15746665,-0.78094286,0.12778036,,1.575479
0.639355,0.15747593,0.46185845,0.6486793,0.6962462,-0.30018616,1.9996971,0.2549681,-1.1668711,-1.297005,-1.0698967,,1.4698318
-0.8270056,-0.932172,-1.0724938,-1.0346806,0.43347093,-0.6124041,1.6516176,0.91895974,-1.0633954,-0.63352454,-1.0159626,,0.9512937
-1.302168,-1.4402206,-1.5321153,-1.542436,-1.3501438,-1.0605913,-0.263151,0.55491215,0.32952237,0.8501588,0.4171021,,-0.30527928
-1.3853903,-1.7462937,-1.9089239,-1.8855085,0.28942055,-1.0871581,0.31371942,-0.71740866,-0.25716195,1.0291625,-0.24572536,,-0.95189184
2.142553,1.6052727,1.9170914,2.0077384,2.4858463,1.0100408,-1.469264,-0.030598663,0.4793498,-1.4884727,0.4127934,,1.6182997
0.8360311,0.33331388,0.46185845,0.64349985,1.0439072,0.20793207,-1.6187277,-0.80047077,0.5891722,-2.0809414,0.4345717,,1.8164072
0.025234582,-1.0269017,-0.8980421,-0.97419417,0.6839353,-1.2111281,0.42851567,1.3862494,-0.3511667,1.0074999,-0.3573302,,0.117021315
-0.050649527,-0.22186327,-0.35075328,-0.5888985,2.0108664,0.15588161,0.03609875,1.7332805,-0.14575821,0.33006057,-0.12885348,,0.71575326
0.33490324,0.92385715,0.90554714,0.78300524,-0.94051766,0.8389598,0.65558666,1.5589507,-0.46432662,-0.37508404,-0.44535065,,1.3272841
1.2642945,-0.021716362,0.7697797,1.186831,-1.5626897,-1.049484,-1.6055526,-0.63933384,0.822407,-1.9161844,0.67951304,,1.066388
0.019553052,0.14845255,0.012851764,-0.23073025,0.6886358,0.3353435,0.17611693,1.752267,-0.22720873,0.05738871,-0.21647477,,0.9646577
0.0975666,-0.49758047,0.07822296,0.56579405,-2.7498572,-1.0216017,-1.6007831,-0.61254406,0.86559016,-1.9622252,0.7178015,,1.0231053
0.6082586,0.61559963,0.8319715,0.9665215,1.3670747,0.328771,-1.5024731,-0.24182229,0.7547762,-1.6293389,0.61985224,,1.1071492
-0.53725713,0.4023592,0.9377582,1.6475018,-0.9969943,-0.35718212,-1.3379154,-0.40331167,2.5655143,-1.1748127,2.595421,,-0.41078654
1.994077,0.18988359,1.0976458,1.6801844,0.48358187,-1.0376493,-1.6210911,-0.8042552,0.5063692,-1.9986994,0.40047264,,1.8888477
-0.6935127,-1.4101391,-1.4522185,-1.5086287,-1.04357,-1.0670997,-0.26812378,0.5445903,0.32595608,0.85017926,0.4171028,,-0.3052803
-0.23793729,-0.7348239,-0.76194954,-0.7260633,0.5697242,-0.6665856,0.34647855,-1.2969754,-0.25563973,1.0291349,-0.24572133,,-1.2224331
-0.11008339,-1.0240624,-1.0679032,-0.9935278,0.6886087,-0.8264101,-0.12166103,-0.28630525,0.5478125,0.71211064,0.67676675,,-0.7195415
-0.04405391,0.19954894,0.80018306,1.5263475,0.6885475,-0.8269505,-0.77050143,-0.6919039,2.639808,-1.2493322,2.6698544,,-0.7111063
1.6312805,2.1295798,1.8825538,1.6265707,0.6861937,2.1801527,1.8048984,0.66107154,-0.9733,-1.0934261,-0.8994871,,1.8454574
-0.51917857,-0.8087661,-0.5137589,-0.1315232,0.6813366,-1.0848066,0.91746336,1.5137452,-0.5537486,-0.78480196,-0.5290816,,1.8539258
1.7982051,1.2910466,1.2246499,1.0003148,1.3100791,1.012783,-0.28877032,1.6098253,-0.0686153,-0.47958773,-0.0644115,,1.6182995
1.4252118,2.2999976,2.2239444,1.8881376,0.116485424,2.1503427,0.3071067,-1.3208647,-0.2556397,1.0291791,-0.24571063,,-1.2224315
